lcoreID,numFlowsCreated,hits,miss,slowpath,localHits,Time,slowpath_ratio,hits_ratio,miss_ratio,hits_to_miss_ratio,miss_to_hits_ratio
0,20,26354575,20,34020,10329925,66,0.000926507426493537,0.9990729478895403,5.446839661925556e-07,0.999999454810912,5.451890879313673e-07
1,14,28027326,14,2114,8491271,66,5.788494067409669e-05,0.999941731715348,3.8334397797415027e-07,0.9999996166338309,3.833661691021052e-07
2,14,22653406,14,4392,12943831,66,0.00012336509300989282,0.9998762416667119,3.932402782646857e-07,0.9999996067112036,3.9328879637363007e-07
3,14,23112175,14,4362,12519512,66,0.00012240409385290402,0.9998772030456899,3.9286045711615225e-07,0.9999996070914493,3.9290855073127157e-07
4,11,23419227,11,4363,12282225,66,0.00012219294408705178,0.9998774989829391,3.080729738614645e-07,0.9999996918893772,3.0811062280556963e-07
5,18,28145490,18,2113,8502267,66,5.765365503981895e-05,0.9999418552111264,4.911338337514156e-07,0.9999995088378489,4.911621510446405e-07
6,13,28413104,13,2118,8041871,66,5.809567001834978e-05,0.9999415477465491,3.565834325961035e-07,0.9999996433958502,3.566041497531147e-07
7,20,28353562,20,2116,8211101,66,5.786670033655393e-05,0.9999415863554258,5.46944237585576e-07,0.9999994530241108,5.469758892754519e-07
8,19,27162648,19,2107,9130908,66,5.805098248326068e-05,0.9999414255392693,5.234782473573578e-07,0.9999994764913624,5.23508637548106e-07
9,10,24252494,10,4350,11179450,66,0.00012275546569416495,0.999876962337833,2.821964728601493e-07,0.9999997177688817,2.822311182725062e-07
10,12,24192901,12,4332,11372807,66,0.00012178784557301182,0.9998778747919739,3.3736245311083606e-07,0.9999996625964552,3.3740354476164126e-07
11,15,24568514,15,4284,10738445,66,0.00012132108122570994,0.9998782541250725,4.2479370177069306e-07,0.9999995751547556,4.24845244455104e-07
